txt_extract
"A.B. and Others v. France, no. 11593/12, 12 July 2016"
"A, B and C v. Ireland [GC], no. 25579/05, ECHR 2010"
"A.K. v. Latvia, no. 33011/08, 24 June 2014"
"Airey v. Ireland, 9 October 1979, Series A no. 32"
"Aizpurua Ortiz and Others v. Spain, no. 42430/05, 2 February 2010"
"Albanese v. Italy, no. 77924/01, 23 March 2006"
"Aldeguer Tomás v. Spain, no. 35214/09, 14 June 2016"
"Alexandridis v. Greece, no. 19516/06, 21 February 2008"
"Andrejeva v. Latvia [GC], no. 55707/00, ECHR 2009"
"Andrle v. the Czech Republic, no. 6268/08, 17 February 2011"
"Andrey Medvedev v. Russia, no. 75737/13, 13 September 2016"
"Apostolakis v. Greece, no. 39574/07, 22 October 2009"
"Arnar Helgi Lárusson v. Iceland, no. 23077/19, 31 May 2022"
"Associated Society of Locomotive Engineers and Firemen (ASLEF) v. the United Kingdom, no. 11002/05, 2/27/2007"
"Association of Civil Servants and Union for Collective Bargaining and Others v. Germany, nos. 815/18 and 4 others, 5 July 2022"
"B.G. and Others v. France, no. 63141/13, 10 September 2020"
"Bah v. the United Kingdom, no. 56328/07, ECHR 2011"
"Baka v. Hungary [GC], no. 20261/12, 23 June 2016"
"Barış and Others v. Turkey (dec.), no. 66828/16 and others, 14 December 2021"
"Bayrakci v. Turkey, no. 2643/09, 5 February 2013"
"Béláné Nagy v. Hungary [GC], no. 53080/13, 13 December 2016"
"Beeler v. Switzerland [GC], no. 78630/12, 11 October 2022"
"Belli and Arquier-Martinez v. Switzerland, no. 65550/13, 11 December 2018"
"Berger-Krall and Others v. Slovenia, no. 14717/04, 12 June 2014"
"Berisha v. Switzerland (dec.), no. 4723/13, 24 January 2023"
"Bittó and Others v. Slovakia, no. 30255/09, 28 January 2014"
"Biriuk v. Lithuania, no. 23373/03, 25 November 2008"
"Bjedov v. Croatia, no. 42150/09, 29 May 2012"
"Blokhin v. Russia [GC], no. 47152/06, 23 March 2016"
"Botta v. Italy, 24 February 1998, Reports of Judgments and Decisions 1998-I"
"Budimir v. Croatia, no. 44691/14, 16 December 2021"
"Budina v. Russia (dec.), no. 45603/05, 18 June 2009"
"Burdov v. Russia, no. 59498/00, ECHR 2002-III"
"Bradshaw and Others v. Malta, no. 37121/15, 23 October 2018"
"Brežec v. Croatia, no. 7177/10, 18 July 2013"
"Brincat and Others v. Malta, nos. 60908/11 and 4 others, 24 July 2014"
"C.N. and v. v. France, no. 67724/09, 11 October 2012"
"C.C. v. Spain, no. 1425/06, 6 October 2009"
"Carson and Others v. the United Kingdom [GC], no. 42184/05, ECHR 2010"
"Chapman v. the United Kingdom [GC], no. 27238/95, ECHR 2001‐I"
"Codona v. United Kingdom (dec.), no. 485/05, 7 February 2006"
"Connors v. the United Kingdom, no. 66746/01, 27 May 2004"
"Costa and Pavan v. Italy, no. 54270/10, 28 August 2012"
"Chowdury and Others v. Greece, no. 21884/15, 30 March 2017"
"Cimperšek v. Slovenia, no. 58512/16, 30 June 2020"
"Cudak v. Lithuania [GC], no. 15869/02, ECHR 2010"
"Cvijetić v. Croatia, no. 71549/01, 26 February 2004"
"Čakarević v. Croatia, no. 48921/13, 26 April 2018"
"Çam v. Turkey, no. 51500/08, 23 February 2016"
"D. v. the United Kingdom, 2 May 1997, Reports of Judgments and Decisions 1997-III"
"D.H. and Others v. the Czech Republic [GC], no. 57325/00, ECHR 2007-IV"
"Da Conceição Mateus and Santos Januário v. Portugal (dec.), nos. 57725/12 and 62235/12, 8 October 2013"
"Da Silva Carvalho Rico v. Portugal (dec.), no. 13341/14, 1 September 2015"
"Dahlab v. Switzerland (dec.), no. 42393/98, ECHR 2001-V"
"Danilenkov and Others v. Russia, no. 67336/01, ECHR 2009 (extracts)"
"Demir and Baykara v. Turkey [GC], no. 34503/97, ECHR 2008"
"Denisov v. Ukraine [GC], no. 76639/11, 25 September 2018"
"Dhahbi v. Italy, no. 17120/09, 8 April 2014"
"Di Trizio v. Switzerland, no. 7186/09, 2 February 2016"
"Dickson v. the United Kingdom [GC], no. 44362/04, ECHR 2007-V"
"Dilek and Others v. Turkey, nos. 74611/01 and 2 others, 17 July 2007"
"Domenech Pardo v. Spain (dec.), no. 55996/00, 3 March 2001"
"Domenech Aradilla and Rodríguez González v. Spain, nos. 32667/19 and 30807/20, 19 January 2023"
"Ebrahimian v. France, no. 64846/11, ECHR 2015"
"Edwards v. Malta, no. 17647/04, 24 October 2006"
"Efe v. Austria, no. 9134/06, 8 January 2013"
"Emel Boyraz v. Turkey, no. 61960/08, 2 December 2014"
"Enerji Yapı-Yol Sen v. Turkey, no. 68959/01, 21 April 2009"
"Enver Şahin v. Turkey, no. 23065/12, 30 January 2018"
"Eşim v. Turkey, no. 59601/09, 17 September 2013"
"Evans v. the United Kingdom [GC], no. 6339/05, ECHR 2007-I"
"Eweida and Others v. the United Kingdom, nos. 48420/10 and 3 others, ECHR 2013 (extracts)"
"F.J.M. v. the United Kingdom (dec.), no. 76202/16, 6 November 2018"
"Fábián v. Hungary [GC], no. 78117/13, 5 September 2017"
"Farcaş v. Romania (dec.), no. 32596/04, 14 September 2010"
"Faulkner and McDonagh v. Ireland (dec.), nos. 30391/18 and 30416/18, 8 March 2022"
"Fawsie v. Greece, no. 40080/07, 28 October 2010"
"Fernández Martínez v. Spain [GC], no. 56030/07, ECHR 2014 (extracts)"
"G.L. v. Italy, no. 59751/15, 10 September 2020"
"García Mateos v. Spain, no. 38285/09, 19 February 2013"
"Garib v. the Netherlands [GC], no. 43494/09, 6 November 2017"
"Gawlik v. Liechtenstein, no. 23922/19, 16 February 2021"
"Gaygusuz v. Austria, 16 September 1996, Reports of Judgments and Decisions 1996-IV"
"Gladysheva v. Russia, no. 7097/10, 6 December 2011"
"Glaisen v. Switzerland (dec.), no 40477/13, 25 June 2019"
"Glor v. Switzerland, no. 13444/04, ECHR 2009"
"Gouarré Patte v. Andorra, no. 33427/10, 12 January 2016"
"Grzęda v. Poland [GC], no. 43572/18, 15 March 2022"
"Guberina v. Croatia, no. 23682/13, 22 March 2016"
"Guja v. Moldova [GC], no. 14277/04, ECHR 2008"
"Heinisch v. Germany, no. 28274/08, ECHR 2011 (extracts)"
